id,office_name,office_level
50900200337,Elibichchiya Prathamika Vidyalaya,Level 5
50900200338,Kohombapola Primary School,Level 5
50900200339,Dodampoththa Kanishta Vidyalaya,Level 5
50900200340,Dhammaloka Collegeල Giriulla,Level 5
50900200341,"Siri Sidath Primary School, Kotuwella",Level 5
50900200342,Wellawa Prathamika Vidyalaya,Level 5
50900200343,Kadirapola Prathamika Vidyalaya,Level 5
50900200344,Horawadunna Kanishta Vidyalaya,Level 5
50900200345,Maholawa Primary School,Level 5
50900200346,Balawala Prathamika Vidyalaya,Level 5
50900200347,Helarajabima Primary School,Level 5
50900200348,Yataththawala Prathamika Vidyalaya,Level 5
50900200349,Bammanna Al Qamar Centarl College,Level 5
50900200350,"Al Ameen Madya Maha Vidyalaya, Alabadagama",Level 5
50900200351,"Agara Muslim Vidyalaya, Narangoda",Level 5
50900200352,Mummana Muslim Kanishta Vidyalaya,Level 5
50900200353,Rakupola Ananda Prathamika Vidyalaya,Level 5
50900200354,"Siri Sarasavi Prathamika Vidyalaya, Batapothala",Level 5
50900200355,"Prethiba Prathamika Vidyalaya, Konduruwawela",Level 5
50900200400,Teacher Center - Maho,Level 4
50900200500,Teacher Center - Galgamuwa,Level 4
50900200600,Teacher Center - Dambadeniya,Level 4
50900300000,Zonal Education Office - Kurunegala,Level 3
50900300100,Divisional Education Office - Kurunegala,Level 4
50900300101,Kurunegala Maliyadeva Balika Vidyalaya,Level 5
50900300102,Kurunegala Maliyadeva College,Level 5
50900300103,Wellawa Madya Maha Widyalaya,Level 5
50900300104,Kurunegala St. Anne's College,Level 5
50900300105,Kurunegala Holy Family Balika Maha Vidyalaya,Level 5
50900300106,Udabadalawa Sudarshana Maha Vidyalaya,Level 5
50900300107,"Sri Saranankara Maha Vidyalaya, Kudagalgamuwa",Level 5
50900300108,Kurunegala Mahinda College,Level 5
50900300109,Pimburuwellegama Madya Maha Vidyalaya,Level 5
50900300110,Kurunegala D.B.Welagedara Madya Maha Vidyalaya,Level 5
50900300111,"Nalandodaya Maha Vidyalaya, Maspotha",Level 5
50900300112,"Wayamba Jayasanka College, Minhettiya",Level 5
50900300113,Kurunegala Lakdasa De Mel College,Level 5
50900300114,Boyagane Maha Vidyalaya,Level 5
50900300115,Alakoladeniya Kanishta Vidyalaya,Level 5
50900300116,"Sri Medankara Vidyalaya, Edandawala",Level 5
50900300117,Thalwita Kanishta Vidyalaya,Level 5
50900300118,Dematagolla Kanishta Vidyalaya,Level 5
50900300119,Porapola Kanishta Vidyalaya,Level 5
50900300120,Kurunegala Sir Jhon Kothalawala Maha Vidyalaya,Level 5
50900300121,Kurunegala Defence Services College,Level 5
50900300122,Kurunegala S.W.R.D. Bandaranayake College,Level 5
50900300123,Weherabenda Muslim Vidyalaya,Level 5
50900300124,Kurunegala Sri Nishshanka Maha Vidyalaya,Level 5
50900300125,Wilgamdematawa Vidyalaya,Level 5
50900300126,Kurunegala Maliyadeva Adarsha Maha Vidyalaya,Level 5
50900300127,Siyabalangamuwa Primary School,Level 5
50900300128,Kurunegala President's Girls College,Level 5
50900300129,Aswedduma Kanishta Vidyalaya,Level 5
50900300130,Kurunegala Hizbullah Central College,Level 5
50900300131,Kurunegala Zahira Model Maha Vidyalaya,Level 5
50900300132,"Hindu Tamil Maha Vidyalaya, Kurunegala",Level 5
50900300133,"Al-Ashar College, Hadirawalana",Level 5
50900300134,Kurunegala Wayamba Royal College,Level 5
50900300135,"Jaya Isuru Primary School, Malkaduwawa",Level 5
50900300136,Boyagane Vishvoda National School,Level 5
50900300200,Divisional Education Office - Mawathagama,Level 4
50900300201,Mawathagama Madya Maha Vidyalaya,Level 5
50900300202,"Sri Nishshanka Madya Maha Vidyalaya (National School),Indulgodakanda",Level 5
50900300203,Thalampitiya Prathamika Vidyalaya,Level 5
50900300204,Thiragama Maha Vidyalaya,Level 5
50900300205,Digampitiya Sri Piyarathana Maha Vidyalaya,Level 5
50900300206,Pilessa Maha Vidyalaya,Level 5
50900300207,Pothubowa Maha Vidyalaya,Level 5
50900300208,Bogamuwa Central College,Level 5
50900300209,Meethanwala Maha Vidyalaya,Level 5
50900300210,"Watareka Maha Vidyalaya, Inguruwatta",Level 5
50900300211,Weuda Royal Central College,Level 5
50900300212,Alakoladeniya Bouddha Vidyalaya,Level 5
50900300213,Kahapathwala Vidyalaya,Level 5
50900300214,Katupitiya Vidyalaya,Level 5
50900300215,Ketawala Jonior School,Level 5
50900300216,"Wayaba Wiswaloka Vidyalaya, Kuda Kowana",Level 5
50900300217,"Wayamba Swarna Pradeepa Vidyalaya, Koongaswala",Level 5
50900300218,Doratiyawa Vidyalaya,Level 5
50900300219,Madawa Udumulla Vidyalaya,Level 5
50900300220,"Wayamba C W W Kannangara Maha Vidyalaya, Mallawapitiya",Level 5
50900300221,Meddegama Junior School,Level 5
50900300222,Yatiwala Sri Gunananda Vidyalaya,Level 5
50900300223,Athugalpura Sinhaloka Vidyalaya,Level 5
50900300224,Hengawa Kanishta Vidyalaya,Level 5
50900300225,Athugalpura Prince College,Level 5
50900300226,Kosgolla Kanishta Vidyalaya,Level 5
50900300227,Mawathagama Roman Catholic College,Level 5
50900300228,"Riyal College, Weuda",Level 5
50900300229,Akade Primary School,Level 5
50900300230,Iriminna Kanishta Vidyalaya,Level 5
50900300231,Gonagaldeniya Primary School,Level 5
50900300232,Malagane Saraswathie Vidyalaya,Level 5
50900300233,Paragahadeniya National School,Level 5
50900300234,"Saraswathi Tamil Vidyalaya, Muwankanda",Level 5
50900300235,Nakalagamuwa Amina Muslim Vidyalaya,Level 5
50900300236,"Nottinghill Tamil Vidyalaya, Kahapathwela",Level 5
50900300237,Morathanna Tamil Vidyalaya,Level 5
50900300238,"Aththarique Muslim Maha Vidyalaya, Thorayaya",Level 5
50900300239,Athgalpura Vidya Deepa Vidyalaya,Level 5
50900300240,"D. P. Wickramasinghe Vidyalaya, Mawathagama",Level 5
50900300241,"Samodaya Vidyalaya, Mallawapitiya",Level 5
50900300242,"Al-Hamra Prathamika Vidyalaya, Kurunegala",Level 5
50900300300,Divisional Education Office - Polgahawela,Level 4
50900300301,Polgahawela Parakramabahu Madya Maha Vidyalaya,Level 5
50900300302,"Dutugemunu Central College, Pothuhera",Level 5
50900300303,Uhumeeya D.S Senanayaka Madya Maha Vidyalaya,Level 5
50900300304,Udapola Sri Sumangala Maha Vidyalaya,Level 5
